flight_date,num_cld_day,num_cld_iop,num_leg,tstart_leg,tend_leg
20200117,1,1,1,1/17/2020 18:39,1/17/2020 18:45
20200117,1,1,2,1/17/2020 18:21,1/17/2020 18:37
20200117,1,1,3,1/17/2020 18:06,1/17/2020 18:21
20200117,1,1,4,1/17/2020 17:51,1/17/2020 18:05
20200117,1,1,5,1/17/2020 17:35,1/17/2020 17:49
20200117,1,1,6,1/17/2020 17:17,1/17/2020 17:32
20200124,1,2,1,1/24/2020 16:48,1/24/2020 17:19
20200124,1,2,2,1/24/2020 17:20,1/24/2020 17:48
20200124,1,2,3,1/24/2020 17:49,1/24/2020 18:17
20200124,1,2,4,1/24/2020 18:24,1/24/2020 19:14
20200124,2,3,1,1/24/2020 20:53,1/24/2020 21:13
20200124,2,3,2,1/24/2020 20:26,1/24/2020 20:52
20200124,2,3,3,1/24/2020 20:00,1/24/2020 20:25
20200124,2,3,4,1/24/2020 19:14,1/24/2020 19:54
20200131,1,4,1,1/31/2020 20:53,1/31/2020 21:03
20200131,1,4,2,1/31/2020 20:36,1/31/2020 20:51
20200131,1,4,3,1/31/2020 20:21,1/31/2020 20:35
20200131,1,4,4,1/31/2020 20:02,1/31/2020 20:19
20200131,1,4,5,1/31/2020 19:45,1/31/2020 20:00
20200131,2,5,1,1/31/2020 22:26,1/31/2020 22:33
20200131,2,5,2,1/31/2020 22:07,1/31/2020 22:24
20200131,2,5,3,1/31/2020 21:50,1/31/2020 22:06
20200131,2,5,4,1/31/2020 21:33,1/31/2020 21:48
20200131,2,5,5,1/31/2020 21:12,1/31/2020 21:29
20200204,1,6,1,2/4/2020 17:15,2/4/2020 17:22
20200204,1,6,2,2/4/2020 16:55,2/4/2020 17:11
20200204,1,6,3,2/4/2020 16:44,2/4/2020 16:54
20200204,1,6,4,2/4/2020 16:29,2/4/2020 16:42
20200204,1,6,5,2/4/2020 16:15,2/4/2020 16:27
20200204,1,6,6,2/4/2020 15:57,2/4/2020 16:13
20200204,2,7,1,2/4/2020 17:55,2/4/2020 18:10
20200204,2,7,2,2/4/2020 18:11,2/4/2020 18:25
20200204,2,7,3,2/4/2020 18:25,2/4/2020 18:39
20200204,2,7,4,2/4/2020 18:41,2/4/2020 18:52
20200204,2,7,5,2/4/2020 18:54,2/4/2020 19:05
20200204,3,8,1,2/4/2020 19:35,2/4/2020 19:40
20200204,3,8,2,2/4/2020 19:41,2/4/2020 19:57
20200204,3,8,3,2/4/2020 19:57,2/4/2020 20:08
20200204,3,8,4,2/4/2020 20:08,2/4/2020 20:15
20200204,3,8,5,2/4/2020 20:16,2/4/2020 20:33
20200204,3,8,6,2/4/2020 20:35,2/4/2020 20:52
20200204,3,8,7,2/4/2020 20:56,2/4/2020 21:12
20200205,1,9,1,2/5/2020 17:42,2/5/2020 17:48
20200205,1,9,2,2/5/2020 17:24,2/5/2020 17:41
20200205,1,9,3,2/5/2020 17:03,2/5/2020 17:23
20200205,1,9,4,2/5/2020 16:42,2/5/2020 17:01
20200205,1,9,5,2/5/2020 16:13,2/5/2020 16:37
20200205,2,10,1,2/5/2020 18:05,2/5/2020 18:21
20200205,2,10,2,2/5/2020 18:21,2/5/2020 18:33
20200205,2,10,3,2/5/2020 18:35,2/5/2020 18:46
20200205,2,10,4,2/5/2020 18:50,2/5/2020 19:14
20200205,3,11,1,2/5/2020 20:48,2/5/2020 20:54
20200205,3,11,2,2/5/2020 20:26,2/5/2020 20:46
20200205,3,11,3,2/5/2020 20:09,2/5/2020 20:25
20200205,3,11,4,2/5/2020 19:51,2/5/2020 20:07
20200205,3,11,5,2/5/2020 19:28,2/5/2020 19:47
20200209,1,12,1,2/9/2020 2:26,2/9/2020 2:50
20200209,1,12,2,2/9/2020 2:55,2/9/2020 3:10
20200209,1,12,3,2/9/2020 3:11,2/9/2020 3:30
20200209,1,12,4,2/9/2020 3:36,2/9/2020 3:47
20200209,2,13,1,2/9/2020 8:58,2/9/2020 9:19
20200209,2,13,2,2/9/2020 8:31,2/9/2020 8:57
20200209,2,13,3,2/9/2020 8:06,2/9/2020 8:27
20200209,2,13,4,2/9/2020 7:42,2/9/2020 8:01
20200210,1,14,1,2/10/2020 2:07,2/10/2020 2:16
20200210,1,14,2,2/10/2020 2:17,2/10/2020 2:44
20200210,1,14,3,2/10/2020 2:44,2/10/2020 3:02
20200210,1,14,4,2/10/2020 3:04,2/10/2020 3:28
20200210,1,14,5,2/10/2020 3:35,2/10/2020 3:50
20200210,2,15,1,2/10/2020 7:08,2/10/2020 7:17
20200210,2,15,2,2/10/2020 7:19,2/10/2020 7:40
20200210,2,15,3,2/10/2020 7:40,2/10/2020 8:07
20200210,2,15,4,2/10/2020 8:09,2/10/2020 8:30
20200210,2,15,5,2/10/2020 8:37,2/10/2020 8:45
20200210,2,15,6,2/10/2020 8:38,2/10/2020 8:50
20200210,2,15,7,2/10/2020 8:52,2/10/2020 9:11
20200211,1,16,1,2/11/2020 3:36,2/11/2020 3:44
20200211,1,16,2,2/11/2020 3:46,2/11/2020 4:09
20200211,1,16,3,2/11/2020 4:09,2/11/2020 4:24
20200211,1,16,4,2/11/2020 4:30,2/11/2020 4:43
20200211,1,16,5,2/11/2020 4:52,2/11/2020 5:00
