flight_date,module,start_secs_2020Jan01,end_secs_2020Jan01,start_datetime,end_datetime,lat_mean,lon_mean,num_cld_day,num_cld_iop
20200117,CLD,1444633,1449963,1/17/2020 17:17,1/17/2020 18:46,15.43000031,-50,1,1
20200124,CLD,2047703,2056454,1/24/2020 16:48,1/24/2020 19:14,13.36999989,-56.74000168,1,2
20200124,CLD,2056454,2063633,1/24/2020 19:14,1/24/2020 21:13,13.31999969,-56.5,2,3
20200131,CLD,2662908,2667819,1/31/2020 19:41,1/31/2020 21:03,13.60999966,-55.04000092,1,4
20200131,CLD,2668327,2673181,1/31/2020 21:12,1/31/2020 22:33,13.64999962,-55.29000092,2,5
20200204,CLD,2995044,3000161,2/4/2020 15:57,2/4/2020 17:22,13.43999958,-53.61000061,1,6
20200204,CLD,3002114,3006330,2/4/2020 17:55,2/4/2020 19:05,12.06999969,-52.63000107,2,7
20200204,CLD,3008145,3013937,2/4/2020 19:35,2/4/2020 21:12,13.22000027,-55.27999878,3,8
20200205,CLD,3082413,3088125,2/5/2020 16:13,2/5/2020 17:48,12.05000019,-53.79999924,1,9
20200205,CLD,3089103,3093285,2/5/2020 18:05,2/5/2020 19:14,10.89000034,-54.18000031,2,10
20200205,CLD,3094126,3099285,2/5/2020 19:28,2/5/2020 20:54,13.68000031,-54.54000092,3,11
20200209,CLD,3378402,3383261,2/9/2020 2:26,2/9/2020 3:47,13.52999973,-58.74000168,1,12
20200209,CLD,3397329,3403148,2/9/2020 7:42,2/9/2020 9:19,13.68999958,-54.93000031,2,13
20200210,CLD,3463620,3469813,2/10/2020 2:07,2/10/2020 3:50,12.76000023,-58.00999832,1,14
20200210,CLD,3481698,3489119,2/10/2020 7:08,2/10/2020 9:11,13.94999981,-55.29000092,2,15
20200211,CLD,3555377,3560456,2/11/2020 3:36,2/11/2020 5:00,13.25,-58.43999863,1,16
