ncld,nlevleg,altmean
1,1,167.0
1,2,707.0
1,3,905.0
1,4,1541.0
1,5,2248.0
1,6,3135.0
2,1,160.0
2,2,533.0
2,3,713.0
2,4,2877.0
3,1,161.0
3,2,496.0
3,3,1038.0
3,4,2877.0
4,1,168.0
4,2,489.0
4,3,687.0
4,4,1286.0
4,5,1896.0
5,1,165.0
5,2,546.0
5,3,777.0
5,4,1301.0
5,5,1885.0
6,1,170.0
6,2,560.0
6,3,797.0
6,4,1417.0
6,5,2057.0
6,6,2492.0
7,1,160.0
7,2,552.0
7,3,766.0
7,4,1406.0
7,5,2035.0
8,1,168.0
8,2,555.0
8,3,704.0
8,4,801.0
8,5,1419.0
8,6,2022.0
8,7,3049.0
9,1,176.0
9,2,558.0
9,3,807.0
9,4,1347.0
9,5,2443.0
10,1,556.0
10,2,781.0
10,3,1342.0
10,4,2437.0
11,1,170.0
11,2,558.0
11,3,802.0
11,4,1353.0
11,5,2440.0
12,1,314.0
12,2,725.0
12,3,1071.0
12,4,2138.0
13,1,558.0
13,2,783.0
13,3,2110.0
13,4,3054.0
14,1,163.0
14,2,601.0
14,3,842.0
14,4,1377.0
14,5,3033.0
15,1,188.0
15,2,573.0
15,3,854.0
15,4,1379.0
15,5,2588.0
15,6,2629.0
15,7,3070.0
16,1,171.0
16,2,609.0
16,3,757.0
16,4,1437.0
16,5,3216.0
